position_bin_pitch_tilt,mean_pitch,mean_tilt
122.0,0.017770368359259242,0.04584690519569498
123.0,0.01610171772333332,0.043968132140317605
124.0,0.016979032589285688,0.0445753787605767
125.0,0.015525829703703685,0.04506977963679355
126.0,0.015796899771428556,0.04470268434290533
127.0,0.016503327377380902,0.04439288493911808
128.0,0.01702654145444442,0.045774840073413633
129.0,0.01599704743703701,0.043962709816298184
130.0,0.016090521923333302,0.045193989288127207
131.0,0.016135773144827573,0.044465938092262305
132.0,0.013983969616666656,0.04441292892194672
133.0,0.012417289876470585,0.04308629169259786
134.0,0.014357404772413773,0.043055249314155816
135.0,0.017387329148387053,0.04360795932059335
136.0,0.018001285231249962,0.04362263781961492
137.0,0.021042914605882326,0.046100263181766216
138.0,0.023078830145833305,0.04910593897364883
139.0,0.019469921582828262,0.047094307152167114
